molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL112539,NNC(=O)NCCCCCC(=O)Nc1ccccc1,150000.0,inactive
CHEMBL136792,NNC(=O)NCCCCC(=O)Nc1ccccc1,1000000.0,inactive
CHEMBL137003,O=C(CCCCCCNC(=O)C(F)(F)F)Nc1ccccc1,100000.0,inactive
CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,280.0,active
CHEMBL264784,C#CCN(CC#C)CCCCCCC(=O)Nc1ccccc1,100000.0,inactive
CHEMBL344475,NCCNC(=O)CCCCCCC(=O)Nc1ccccc1,100000.0,inactive
CHEMBL136992,CCOC(=O)NCCCCCCC(=O)Nc1ccccc1,100000.0,inactive
CHEMBL137216,NC(=O)NCCCCCCC(=O)Nc1ccccc1,100000.0,inactive
CHEMBL137278,COC(=O)NCCCCCCC(=O)Nc1ccccc1,100000.0,inactive
CHEMBL137036,O=C(CCCCCCNC(=O)C(Cl)(Cl)Cl)Nc1ccccc1,100000.0,inactive
CHEMBL341701,C#CCNCCCCCCC(=O)Nc1ccccc1,100000.0,inactive
CHEMBL138381,O=C(CBr)NCCCCC(=O)Nc1ccccc1,121000.0,inactive
CHEMBL422460,NNC(=O)NCCCCCCC(=O)Nc1ccccc1,650000.0,inactive
CHEMBL137333,O=C(CCCCCCC(=O)Nc1ccccc1)NCCO,100000.0,inactive
CHEMBL344920,O=C(CBr)NCCCCCC(=O)Nc1ccccc1,17000.0,inactive
CHEMBL137695,O=C(CCCCCCC(=O)c1ccccn1)Nc1ccccc1,100000.0,inactive
CHEMBL137672,O=C(CCCCCC/C(=N/O)c1ccccn1)Nc1ccccc1,100000.0,inactive
CHEMBL423356,O=C(CCCCCCC(=O)OCCO)Nc1ccccc1,100000.0,inactive
CHEMBL137519,O=C(CBr)NCCCCCCCC(=O)Nc1ccccc1,300000.0,inactive
CHEMBL137100,O=C(CCCCCCC(=O)Nc1ccccn1)Nc1ccccc1,100000.0,inactive
CHEMBL343377,O=C(CCCCCCC(=O)Nc1nccs1)Nc1ccccc1,100000.0,inactive
CHEMBL114237,O=C(CBr)NCCCCCCC(=O)Nc1ccccc1,14000.0,inactive
CHEMBL324053,Nc1ccccc1NC(=O)CCCCCCC(=O)Nc1ccccc1,120000.0,inactive
CHEMBL98748,CC(C)C[C@@H]1CC(=O)N([C@@H](Cc2ccccc2)C(=O)NCCCCCC(=O)NO)C1=O,99.0,active
CHEMBL317734,CC(C)C[C@H]1C(=O)N([C@@H](Cc2ccccc2)C(=O)NCCCCCC(=O)NO)C(=O)C12CCCC2,66.0,active
CHEMBL327292,CC(C)C[C@@H]1CC(=O)N(CC(=O)NCCCCCC(=O)NO)C1=O,5000.0,intermediate
CHEMBL317614,CCC[C@H]1C(=O)N([C@@H](Cc2ccc(OC)cc2)C(=O)NCCCCCC(=O)NO)C(=O)[C@@H]1CC(C)C,38.0,active
CHEMBL99392,O=C(CCCCC[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC1=O)NO,2.0,active
CHEMBL328819,CCC[C@H]1C(=O)N([C@@H](Cc2ccccc2)C(=O)NCCCCCC(=O)NO)C(=O)[C@@H]1CC(C)C,51.0,active
CHEMBL99661,CNCC(=O)[C@@H](Cc1ccccc1)NC(=O)CCCCCCC(=O)NO,1.4,active
CHEMBL101105,O=C(CCCCCNC(=O)[C@H](Cc1ccccc1)N1CCCC1=O)NO,5000.0,intermediate
CHEMBL95881,CC(C)C[C@H]1CN[C@H](C(=O)NCCCCCC(=O)NO)Cc2ccc(cc2)OCCCCC[C@H]1C(=O)OC(C)(C)C,2.1,active
CHEMBL318616,CC(C)C[C@@H]1CC(=O)N([C@@H](CC2CCCCC2)C(=O)NCCCCCC(=O)NO)C1=O,640.0,active
CHEMBL98428,O=C(CCCCCNC(=O)[C@H](Cc1ccccc1)N1C(=O)CCC1=O)NO,660.0,active
CHEMBL329977,CC(C)C[C@H]1C(=O)N2C[C@@H]1CCCCCOc1ccc(cc1)C[C@H]2C(=O)NCCCCCC(=O)NO,38.0,active
CHEMBL100631,O=C(NCc1ccc(C(=O)Nc2ccccc2)cc1)OCc1cccnc1,100000.0,inactive
CHEMBL100925,Nc1ccc(NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2)cc1,100000.0,inactive
CHEMBL101167,Cc1ccc(N)c(NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2)c1,2800.0,intermediate
CHEMBL116702,O=C(CCCCCCC(=O)C(F)(F)F)Nc1nc(-c2ccccc2)cs1,310.0,active
CHEMBL2371000,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)OC)NC(=O)[C@H]2CCCCN2C1=O,0.4,active
CHEMBL421589,Nc1ccc(F)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,6000.0,intermediate
CHEMBL2371005,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCC(=O)OC)NC(=O)[C@H]2CCCCN2C1=O,74.0,active
CHEMBL2371002,CCC(=O)C(F)CCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,110.0,active
CHEMBL326529,O=C(CCCCCOc1ccc(-c2ccccc2)cc1)C(F)(F)F,2600.0,intermediate
CHEMBL55728,O=C(CCCCCCNC(=O)c1cccc2cc[nH]c12)NO,41.0,active
CHEMBL58487,O=C(CCCCCCNC(=O)c1cc2cc(F)ccc2[nH]1)NO,5.4,active
CHEMBL342474,O=C(/C=C/c1ccc(CNCCCc2ccccc2)cc1)NO,64.0,active
CHEMBL113537,O=C(CCCCCCC(=O)C(F)(F)F)Nc1ccccc1,6700.0,intermediate
CHEMBL149249,Cn1cc(C(=O)c2ccccc2)cc1/C=C/C#N,70000.0,inactive
CHEMBL59316,O=C(CCCCCCNC(=O)c1cc2cc(Cl)ccc2o1)NO,15.0,active
CHEMBL275380,O=C(NCC1CCC(C(=O)NO)CC1)c1ccc(-c2ccccc2)cc1,310.0,active
CHEMBL12760,Cn1cc(C(=O)Cc2ccccc2)cc1/C=C/C(=O)NO,100.0,active
CHEMBL99853,Cc1cccc(NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2)c1N,100000.0,inactive
CHEMBL117404,O=C(CCCCCCC(=O)C(F)(F)F)Nc1ccccc1-c1ccccc1,16000.0,inactive
CHEMBL2370999,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)O)NC(=O)[C@H]2CCCCN2C1=O,15.0,active
CHEMBL2371004,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCCC(=O)OC)NC(=O)[C@H]2CCCCN2C1=O,7.0,active
CHEMBL419716,O=C(NCc1ccc(C(=O)Nc2ccccc2O)cc1)OCc1cccnc1,2200.0,intermediate
CHEMBL150237,O=C(O)C(=O)NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O,2.0,active
CHEMBL56040,O=C(CCCCCCNC(=O)c1ccccn1)NO,1680.0,intermediate
CHEMBL65733,Cn1cc(C(=O)c2ccc(F)cc2)cc1/C=C/C(=O)NO,3800.0,intermediate
CHEMBL66584,Cn1cc(C(=O)c2ccc(Cl)cc2)cc1/C=C/C(=O)NO,2400.0,intermediate
CHEMBL51060,CN(C)c1ccc(C(=O)c2cc(/C=C/C(=O)NO)n(C)c2)cc1,2400.0,intermediate
CHEMBL148412,O=C(/C=C/CCCCOc1ccc(-c2ccccc2)cc1)C(F)(F)F,5000.0,intermediate
CHEMBL411020,Cn1cc(C(=O)/C=C/c2ccccc2)cc1/C=C/C(=O)NO,1000.0,active
CHEMBL114724,O=C(COc1ccc(/C=C/C(=O)C(F)(F)F)cc1)Nc1ccccc1,2200.0,intermediate
CHEMBL57107,O=C(CCCCCCNC(=O)c1ccccc1)NO,1006.0,intermediate
CHEMBL417594,C[C@H](/C=C/C=C/C(=O)NO)NC(=O)c1ccc(N(C)C)cc1,12187.0,inactive
CHEMBL57792,COc1cccc2[nH]c(C(=O)NCCCCCCC(=O)NO)cc12,3.1,active
CHEMBL115011,O=C(CCCCCCC(=O)C(F)(F)F)Nc1cccc(-c2ccccc2)c1,380.0,active
CHEMBL54867,O=C(CCCCCCNC(=O)c1ccc2cc[nH]c2c1)NO,56.5,active
CHEMBL99835,CC(=O)Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,100000.0,inactive
CHEMBL112148,O=C(CCCCCCOc1ccc(-c2ccccc2)cc1)C(F)(F)F,2900.0,intermediate
CHEMBL62226,COc1ccc(C(=O)c2cc(/C=C/C(=O)NO)n(C)c2)cc1,2900.0,intermediate
CHEMBL13235,Cn1cc(C(=O)c2ccccc2)cc1CCC(=O)NO,36800.0,inactive
CHEMBL319375,Nc1cc(Cl)ccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,40000.0,inactive
CHEMBL146677,Cn1cc(C(=O)c2ccccc2)cc1/C=C/C(=N)N,23000.0,inactive
CHEMBL55234,O=C(CCCCCCNC(=O)c1ccc[nH]1)NO,524.0,active
CHEMBL56770,CC1c2ccccc2CC1C(=O)NCCCCCCC(=O)NO,732.0,active
CHEMBL116900,O=C(C1CC1CCCCOc1ccc(-c2ccccc2)cc1)C(F)(F)F,2900.0,intermediate
CHEMBL147134,CCOC(=O)NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O,79.0,active
CHEMBL294194,COc1cc(OC)c2cc(C(=O)NCCCCCCC(=O)NO)[nH]c2c1,3.1,active
CHEMBL27556,O=C(NO)c1ccc(CNC(=O)c2ccc3ccccc3c2)cc1,44.0,active
CHEMBL13168,Cn1cc(C(=O)c2ccccc2)cc1/C=C/C(=O)NO,3800.0,intermediate
CHEMBL116979,CC(=O)CCCCCCOc1ccc(-c2ccccc2)cc1,50000.0,inactive
CHEMBL149765,Cn1cc(C(=O)Cc2ccccc2)cc1C=C1C(=O)NC(=O)NC1=O,104000.0,inactive
CHEMBL26518,O=C(NCC1CCC(C(=O)NO)CC1)c1ccc2ccccc2c1,2000.0,intermediate
CHEMBL26844,O=C(NO)c1ccc(CNC(=O)c2ccc(-c3ccccc3)cc2)cc1,240.0,active
CHEMBL2371007,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)NO)NC(=O)[C@H]2CCCCN2C1=O,0.2,active
CHEMBL117610,O=C(C#CCCCCOc1ccc(-c2ccccc2)cc1)C(F)(F)F,8600.0,intermediate
CHEMBL146251,Cn1cc(C(=O)Cc2ccccc2)cc1C=C1C(=O)NC(=S)NC1=O,85000.0,inactive
CHEMBL343476,COC(=O)NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O,44.0,active
CHEMBL147655,O=C(CCCCCCN1c2cccc3cccc(c23)S1(=O)=O)NO,10.0,active
CHEMBL56157,O=C(CCCCCCNC(=O)c1cc2ccccc2[nH]1)NO,14.6,active
CHEMBL54543,O=C(CCCCCCNC(=O)c1cccc2[nH]ccc12)NO,80.3,active
CHEMBL149337,O=C(/C=C/c1cc(C(=O)c2ccccc2)c[nH]1)NO,5000.0,intermediate
CHEMBL27759,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,4800.0,intermediate
CHEMBL323647,O=C(CCCCCCC(=O)C(F)(F)F)Nc1ccc(-c2ccccc2)cc1,3000.0,intermediate
CHEMBL99,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,12.0,active
CHEMBL46942,CN(C)c1ccc(C(=O)NCCCCCC(=O)NO)cc1,152.0,active
CHEMBL55974,C[C@H](CCCCC(=O)NO)NC(=O)c1ccc(N(C)C)cc1,359.0,active
CHEMBL283439,O=C(NO)C1CCC(CNS(=O)(=O)c2ccc3ccccc3c2)CC1,1100.0,intermediate
CHEMBL145885,O=C(/C=C/c1cc(C(=O)c2ccccc2)cn1-c1ccccc1)NO,110000.0,inactive
