,molecule_chembl_id,bioactivity_class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL112539,inactive,NNC(=O)NCCCCCC(=O)Nc1ccccc1,264.329,1.3583999999999992,4.0,3.0,3.8239087409443187
1,CHEMBL136792,inactive,NNC(=O)NCCCCC(=O)Nc1ccccc1,250.30200000000002,0.9682999999999995,4.0,3.0,3.0
2,CHEMBL137003,inactive,O=C(CCCCCCNC(=O)C(F)(F)F)Nc1ccccc1,316.323,3.254100000000001,2.0,2.0,4.0
3,CHEMBL98,active,O=C(CCCCCCC(=O)Nc1ccccc1)NO,264.32500000000005,2.4711,3.0,3.0,6.552841968657781
4,CHEMBL264784,inactive,C#CCN(CC#C)CCCCCCC(=O)Nc1ccccc1,296.41399999999993,3.144000000000002,1.0,2.0,4.0
5,CHEMBL344475,inactive,NCCNC(=O)CCCCCCC(=O)Nc1ccccc1,291.395,2.0405999999999986,3.0,3.0,4.0
6,CHEMBL136992,inactive,CCOC(=O)NCCCCCCC(=O)Nc1ccccc1,292.37899999999996,3.3217000000000017,2.0,3.0,4.0
7,CHEMBL137216,inactive,NC(=O)NCCCCCCC(=O)Nc1ccccc1,263.341,2.2439,3.0,2.0,4.0
8,CHEMBL137278,inactive,COC(=O)NCCCCCCC(=O)Nc1ccccc1,278.352,2.9316000000000004,2.0,3.0,4.0
9,CHEMBL137036,inactive,O=C(CCCCCCNC(=O)C(Cl)(Cl)Cl)Nc1ccccc1,365.68800000000005,4.062000000000002,2.0,2.0,4.0
10,CHEMBL341701,inactive,C#CCNCCCCCCC(=O)Nc1ccccc1,258.365,2.798400000000001,2.0,2.0,4.0
11,CHEMBL138381,inactive,O=C(CBr)NCCCCC(=O)Nc1ccccc1,313.195,2.3064999999999998,2.0,2.0,3.9172146296835497
12,CHEMBL422460,inactive,NNC(=O)NCCCCCCC(=O)Nc1ccccc1,278.356,1.7484999999999988,4.0,3.0,3.1870866433571443
13,CHEMBL137333,inactive,O=C(CCCCCCC(=O)Nc1ccccc1)NCCO,292.37900000000013,2.0742,3.0,3.0,4.0
14,CHEMBL344920,inactive,O=C(CBr)NCCCCCC(=O)Nc1ccccc1,327.222,2.696600000000001,2.0,2.0,4.769551078621726
15,CHEMBL137695,inactive,O=C(CCCCCCC(=O)c1ccccn1)Nc1ccccc1,310.39700000000005,4.243600000000003,1.0,3.0,4.0
16,CHEMBL137672,inactive,O=C(CCCCCC/C(=N/O)c1ccccn1)Nc1ccccc1,325.4120000000001,4.239200000000003,2.0,4.0,4.0
17,CHEMBL423356,inactive,O=C(CCCCCCC(=O)OCCO)Nc1ccccc1,293.363,2.5012000000000008,2.0,4.0,4.0
18,CHEMBL137519,inactive,O=C(CBr)NCCCCCCCC(=O)Nc1ccccc1,355.27599999999995,3.4768000000000017,2.0,2.0,3.5228787452803374
19,CHEMBL137100,inactive,O=C(CCCCCCC(=O)Nc1ccccn1)Nc1ccccc1,325.4120000000001,3.9994000000000023,2.0,3.0,4.0
20,CHEMBL343377,inactive,O=C(CCCCCCC(=O)Nc1nccs1)Nc1ccccc1,331.4410000000001,4.060900000000003,2.0,4.0,4.0
21,CHEMBL114237,inactive,O=C(CBr)NCCCCCCC(=O)Nc1ccccc1,341.24899999999997,3.0867000000000013,2.0,2.0,4.853871964321762
22,CHEMBL324053,inactive,Nc1ccccc1NC(=O)CCCCCCC(=O)Nc1ccccc1,339.4389999999999,4.186600000000003,3.0,3.0,3.9208187539523753
23,CHEMBL98748,active,CC(C)C[C@@H]1CC(=O)N([C@@H](Cc2ccccc2)C(=O)NCCCCCC(=O)NO)C1=O,431.5330000000003,2.2009,3.0,5.0,7.00436480540245
24,CHEMBL317734,active,CC(C)C[C@H]1C(=O)N([C@@H](Cc2ccccc2)C(=O)NCCCCCC(=O)NO)C(=O)C12CCCC2,485.62500000000045,3.371200000000001,3.0,5.0,7.180456064458132
26,CHEMBL317614,active,CCC[C@H]1C(=O)N([C@@H](Cc2ccc(OC)cc2)C(=O)NCCCCCC(=O)NO)C(=O)[C@@H]1CC(C)C,503.6400000000004,3.2357000000000014,3.0,6.0,7.42021640338319
27,CHEMBL99392,active,O=C(CCCCC[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC1=O)NO,577.6820000000002,1.3867000000000018,5.0,6.0,8.698970004336019
28,CHEMBL328819,active,CCC[C@H]1C(=O)N([C@@H](Cc2ccccc2)C(=O)NCCCCCC(=O)NO)C(=O)[C@@H]1CC(C)C,473.61400000000043,3.227100000000002,3.0,5.0,7.292429823902063
29,CHEMBL99661,active,CNCC(=O)[C@@H](Cc1ccccc1)NC(=O)CCCCCCC(=O)NO,363.4580000000002,1.3483999999999994,4.0,5.0,8.853871964321762
31,CHEMBL95881,active,CC(C)C[C@H]1CN[C@H](C(=O)NCCCCCC(=O)NO)Cc2ccc(cc2)OCCCCC[C@H]1C(=O)OC(C)(C)C,575.7910000000002,4.942300000000005,4.0,7.0,8.67778070526608
32,CHEMBL318616,active,CC(C)C[C@@H]1CC(=O)N([C@@H](CC2CCCCC2)C(=O)NCCCCCC(=O)NO)C1=O,437.58100000000024,2.9286000000000003,3.0,5.0,6.1938200260161125
33,CHEMBL98428,active,O=C(CCCCCNC(=O)[C@H](Cc1ccccc1)N1C(=O)CCC1=O)NO,375.4250000000002,0.9286999999999994,3.0,5.0,6.180456064458132
34,CHEMBL329977,active,CC(C)C[C@H]1C(=O)N2C[C@@H]1CCCCCOc1ccc(cc1)C[C@H]2C(=O)NCCCCCC(=O)NO,501.6680000000003,3.853200000000002,3.0,5.0,7.42021640338319
35,CHEMBL100631,inactive,O=C(NCc1ccc(C(=O)Nc2ccccc2)cc1)OCc1cccnc1,361.4010000000001,3.7603000000000026,2.0,4.0,4.0
36,CHEMBL100925,inactive,Nc1ccc(NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2)cc1,376.41600000000005,3.342500000000002,3.0,5.0,4.0
38,CHEMBL116702,active,O=C(CCCCCCC(=O)C(F)(F)F)Nc1nc(-c2ccccc2)cs1,384.42300000000006,5.220600000000003,1.0,4.0,6.508638306165727
39,CHEMBL2371000,active,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)OC)NC(=O)[C@H]2CCCCN2C1=O,625.767,2.2609000000000004,3.0,8.0,9.397940008672037
41,CHEMBL2371005,active,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCC(=O)OC)NC(=O)[C@H]2CCCCN2C1=O,611.74,1.870800000000001,3.0,8.0,7.130768280269024
42,CHEMBL2371002,active,CCC(=O)C(F)CCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,641.7850000000002,3.0150000000000023,3.0,7.0,6.958607314841775
